Company;Name;Bean Type;Company Location;Origin;percentage;Description;# ingredients;Beans;Sugar;Cacao Butter;Vanilla;Lecithin;Salt
Zak's;Papua New Guinea, Batch 2;0;U.S.A.;Papua New Guinea;70;heavy smoke, fruit, ham;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zak's;Peru, Batch 1;0;U.S.A.;Peru;70;sandy, nutty, mocha;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zart Pralinen;Kakao Kamili, Kilombero Valley;Blend;Austria;Tanzania;85;melon, mild tart, bitter, fatty;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zart Pralinen;Kakao Kamili, Kilombero Valley;Blend;Austria;Tanzania;70;smoke, tart, burnt cocoa;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zart Pralinen;Millot P., Ambanja;Blend;Austria;Madagascar;70;sticky, mellow choco, dairy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zart Pralinen;San Juan Estate;Trinitario;Austria;Trinidad;85;sticky, strong bitter, spice;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zart Pralinen;San Juan Estate, Gran Couva;Trinitario;Austria;Trinidad;78;tobacco, over roasted;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Zart Pralinen;UNOCACE;Nacional;Austria;Ecuador;70;sticky, off notes of rubber;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zokoko;Alto Beni;0;Australia;Bolivia;68;oily, honey, light rum;Cacao beans, Sugar, Cacao Butter, Lecithin;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
Zokoko;Goddess Blend;0;Australia;Blend;65;oily, sweet, choco, nutty;Cacao beans, Sugar, Cacao Butter, Vanilla, Lecithin;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
Zokoko;Guadalcanal;0;Australia;Solomon Islands;78;smokey, dried fruit, balanced;Cacao beans, Sugar, Cacao Butter, Lecithin;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
Zokoko;Tokiala;Trinitario;Australia;Papua New Guinea;66;toffee, caramel, butterscotch;Cacao beans, Sugar, Cacao Butter, Lecithin;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
Zokoko;Tranquilidad, Baures;0;Australia;Bolivia;72;intense prune and berry;Cacao beans, Sugar, Cacao Butter, Lecithin;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
Zoto (Chocolatoa);El Castillero, batch ca1705, 3 turns;0;Belgium;Nicaragua;70;large grits, sweet, dried fruit;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zoto (Chocolatoa);Jeru Antiguo, batch jan705, 2 turns;0;Belgium;Nicaragua;72;intense earthy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zoto (Chocolatoa);Kilimamwenza, Ituri Province;0;Belgium;DR Congo;68;fatty, herbal, earthy;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zoto (Chocolatoa);Rugoso;0;Belgium;Nicaragua;75;sandy, basic cocoa;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zotter;Amazonas Frucht;0;Austria;Blend;65;dairy, burnt caramel, coffee;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;APROCAFA, Acandi;0;Austria;Colombia;75;strong nutty, marshmallow;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Zotter;Bocas del Toro, Cocabo Co-op;0;Austria;Panama;72;oily, earthy, caramel, salty;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Brazil, Mitzi Blue;0;Austria;Brazil;65;woody, butterscotch;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Congo;Forastero;Austria;Congo;65;dairy, salt, caramel;Cacao beans, Sugar, Cacao Butter, Salt;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
Zotter;Dry Aged, 30 yr Anniversary bar;Forastero;Austria;blend;75;fatty, earthy, cocoa;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
