Company;Name;Bean Type;Company Location;Origin;percentage;Description;# ingredients;Beans;Sugar;Cacao Butter;Vanilla;Lecithin;Salt
Tejas;Bayou Blend, Ecuador, Mad., PNG;Blend;U.S.A.;Blend;70;molasses, caramel, spice;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Tejas;Capistrano;0;U.S.A.;Peru;70;perfume, chemical, soapy;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Tejas;Capistrano*;0;U.S.A.;Madagascar;70;sticky, caramel;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tejas;Concepcion;0;U.S.A.;Madagascar;70;molasses, off notes;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Tejas;Concepcion*;0;U.S.A.;Venezuela;80;earthy, savory, hammy;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Tejas;Espada;0;U.S.A.;Mexico;70;molasses, caramel;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tejas;Espada;0;U.S.A.;Brazil;70;flat, cardboard, metallic;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tejas;La Bahia, w/ cane juice;0;U.S.A.;Ecuador;70;gritty, rum, molasses;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Tejas;La Bahia, w/ cane sugar;0;U.S.A.;Ecuador;70;molasses, fruit, floral;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tejas;Presidio;0;U.S.A.;Dominican Republic;70;molasses, caramel;Cacao beans, Sugar, Cacao Butter, Vanilla;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Tejas;San Jose;0;U.S.A.;Bolivia;70;candy,peanut butter,caramel;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Tejas;San Jose;0;U.S.A.;Bolivia;67;green apple, sweet;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Terroir;Alto Beni;0;U.S.A.;Bolivia;77;muted, roasted banana;Cacao beans, Sugar, Cacao Butter;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE
Terroir;Belize;Trinitario;U.S.A.;Belize;70;nutty, raspberry, metallic;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
Terroir;Ecuador;0;U.S.A.;Ecuador;70;floral, earthy, bourbon;Cacao beans, Sugar;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
